coachID,year,tmID,stint,won,lost,winrate,TotalAwards
adamsmi01w,5,WAS,0.0,17.0,17.0,50.0,0.0
adubari99w,1,NYL,0.0,20.0,12.0,62.0,0.0
adubari99w,2,NYL,0.0,21.0,11.0,65.0,0.0
adubari99w,3,NYL,0.0,18.0,14.0,56.0,0.0
adubari99w,4,NYL,0.0,16.0,18.0,47.0,0.0
adubari99w,5,NYL,1.0,7.0,9.0,43.0,0.0
adubari99w,6,WAS,0.0,16.0,18.0,47.0,0.0
adubari99w,7,WAS,0.0,18.0,16.0,52.0,0.0
adubari99w,8,WAS,1.0,0.0,4.0,0.0,0.0
aglerbr99w,1,MIN,0.0,15.0,17.0,46.0,0.0
aglerbr99w,2,MIN,0.0,12.0,20.0,37.0,0.0
aglerbr99w,3,MIN,1.0,6.0,13.0,31.0,0.0
aglerbr99w,9,SEA,0.0,22.0,12.0,64.0,0.0
aglerbr99w,10,SEA,0.0,20.0,14.0,58.0,0.0
allenso99w,1,SAC,0.0,21.0,11.0,65.0,0.0
allenso99w,2,SAC,1.0,6.0,6.0,50.0,0.0
bibbyhe01w,6,LAS,1.0,13.0,15.0,46.0,0.0
boguemu01w,6,CHA,2.0,3.0,7.0,30.0,0.0
boguemu01w,7,CHA,0.0,11.0,23.0,32.0,0.0
bouceje01w,8,SAC,0.0,19.0,15.0,55.0,0.0
bouceje01w,9,SAC,0.0,18.0,16.0,52.0,0.0
bouceje01w,10,SAC,1.0,3.0,10.0,23.0,0.0
brownde01w,3,ORL,0.0,16.0,16.0,50.0,0.0
brownde01w,5,SAS,2.0,6.0,20.0,23.0,0.0
bryanjo01w,6,LAS,2.0,4.0,2.0,66.0,0.0
bryanjo01w,7,LAS,0.0,25.0,9.0,73.0,0.0
chancva99w,1,HOU,0.0,27.0,5.0,84.0,0.0
chancva99w,2,HOU,0.0,19.0,13.0,59.0,0.0
chancva99w,3,HOU,0.0,24.0,8.0,75.0,0.0
chancva99w,4,HOU,0.0,20.0,14.0,58.0,0.0
chancva99w,5,HOU,0.0,13.0,21.0,38.0,0.0
chancva99w,6,HOU,0.0,19.0,15.0,55.0,0.0
chancva99w,7,HOU,0.0,18.0,16.0,52.0,0.0
coopecy01w,2,PHO,0.0,13.0,19.0,40.0,0.0
coopecy01w,3,PHO,1.0,6.0,4.0,60.0,0.0
coopemi01w,1,LAS,0.0,28.0,4.0,87.0,1.0
coopemi01w,2,LAS,0.0,28.0,4.0,87.0,0.0
coopemi01w,3,LAS,0.0,25.0,7.0,78.0,0.0
coopemi01w,4,LAS,0.0,24.0,10.0,70.0,0.0
coopemi01w,5,LAS,1.0,14.0,6.0,70.0,0.0
coopemi01w,8,LAS,0.0,10.0,24.0,29.0,0.0
coopemi01w,9,LAS,0.0,20.0,14.0,58.0,0.0
coopemi01w,10,LAS,0.0,18.0,16.0,52.0,0.0
cowenda01w,7,CHI,0.0,5.0,29.0,14.0,0.0
coylepa99w,5,NYL,2.0,11.0,7.0,61.0,0.0
coylepa99w,6,NYL,0.0,18.0,16.0,52.0,0.0
coylepa99w,7,NYL,0.0,11.0,23.0,32.0,0.0
coylepa99w,8,NYL,0.0,16.0,18.0,47.0,0.0
coylepa99w,9,NYL,0.0,19.0,15.0,55.0,0.0
coylepa99w,10,NYL,1.0,6.0,11.0,35.0,0.0
dailesh99w,4,SAS,2.0,6.0,6.0,50.0,0.0
dailesh99w,5,SAS,1.0,3.0,5.0,37.0,0.0
darscna99w,1,WAS,1.0,9.0,11.0,45.0,0.0
donovan99w,1,IND,0.0,9.0,23.0,28.0,0.0
donovan99w,2,CHA,0.0,18.0,14.0,56.0,0.0
donovan99w,3,CHA,0.0,18.0,14.0,56.0,0.0
donovan99w,4,SEA,0.0,18.0,16.0,52.0,0.0
donovan99w,5,SEA,0.0,20.0,14.0,58.0,0.0
donovan99w,6,SEA,0.0,20.0,14.0,58.0,0.0
donovan99w,7,SEA,0.0,18.0,16.0,52.0,0.0
donovan99w,8,SEA,0.0,17.0,17.0,50.0,0.0
donovan99w,10,NYL,2.0,7.0,10.0,41.0,0.0
dunnli99wc,1,SEA,0.0,6.0,26.0,18.0,0.0
dunnli99wc,2,SEA,0.0,10.0,22.0,31.0,0.0
