bioID,pos,height,weight,birthDate
abrahta01w,C,187,86,1975-09-27
abrossv01w,F,187,76,1980-07-09
adairje01w,C,193,89,1986-12-19
adamsda01w,F-C,185,108,1989-02-19
adamsjo01w,C,190,81,1981-05-24
aguilel01w,G,170,74,1976-10-15
ajavoma01w,G,172,72,1986-05-07
alberma01w,G,162,65,1975-04-12
aldrima01w,G,180,69,1973-09-15
alexaer01w,G,170,63,1975-04-25
alhalta01w,F-G,182,67,1974-10-17
allench01w,G,180,61,1986-07-23
amachma01w,F,185,79,1978-01-30
ambermo01w,F,193,76,1970-12-21
anderam01w,F,182,75,1984-03-14
anderch01w,C,198,86,1981-01-22
anderjo01w,G,172,75,1986-07-22
anderke01w,G,170,56,1974-05-17
andrame01w,F,180,74,1975-12-31
angelyv01w,G,172,72,1963-10-14
anosini01w,C,190,95,1986-02-27
appelja01w,C,193,95,1988-05-14
arcaija01w,G,180,66,1969-04-11
artiska01w,F,185,70,1973-07-09
askamma01w,C,195,89,1970-08-07
atkinla01w,G-F,182,78,1984-03-22
atunrmo01w,G-F,177,64,1986-04-14
augusse01w,F,182,81,1984-04-30
aycocan01w,G-F,187,78,1973-02-28
ayimmi01w,F,190,74,1988-05-06
azizle01w,F,190,80,1979-02-28
azzije01w,G,172,64,1968-08-31
badertr01w,G,162,56,1973-02-26
bakerla01w,G,170,63,1968-12-18
bakersh01w,G,172,56,1982-12-03
balesal01w,C,200,98,1985-04-04
banchrh01w,C,190,83,1973-05-01
baranel01w,F,195,82,1972-01-28
barksla01w,G,177,70,1979-10-03
barnead01w,F,180,74,1977-02-03
barnequ01w,C,195,83,1976-09-26
bassmi01w,F,190,83,1983-12-02
batkosu01w,C,193,92,1980-12-17
batteja01w,F,185,73,1983-03-26
battlas01w,F,182,77,1982-05-31
bauerca01w,F-C,193,81,1972-06-27
beardal01w,G-F,180,72,1982-05-14
becenry01w,G,167,63,1971-08-11
beckki01w,G,172,56,1985-12-27
bellje01w,F,185,72,1970-05-26
bennije01w,F,190,83,1981-10-06
berezva01w,C,193,81,1986-04-10
berggas01w,G,177,77,1976-11-18
berrysh01w,F-C,190,79,1967-07-06
berthlu01w,F-C,187,85,1978-03-31
berubca01w,F,182,70,1975-09-02
beviltu01w,G,170,65,1972-07-19
bibbyje01w,G,170,63,1979-08-23
bibrzag01w,G-F,187,76,1982-10-21
birdsu01w,G,175,68,1980-10-16
bishoab01w,F-C,187,77,1988-11-29
bjedoni01w,C,198,88,1971-05-18
bjorkan01w,F,182,75,1989-07-14
bjorkte01w,C,193,79,1982-06-29
blackch01w,C,195,85,1985-11-12
blackde01w,G,160,56,1966-07-29
bladerh01w,G,170,62,1972-10-29
blodgci01w,G,175,58,1975-12-23
blueni01w,G,172,73,1984-03-29
blueoc01w,F,185,73,1976-08-18
bobbish01w,G,157,58,1985-12-06
boddiwh01w,G,175,67,1987-01-23
boldeba01w,G,187,81,1969-06-16
boltoru01w,G,175,68,1967-05-25
bondla01w,G,170,59,1984-02-13
bonfisu01w,G,172,65,1974-09-08
bonnede01w,G,193,61,1987-08-21
bookeka01w,C,185,77,1965-04-10
bosweca01w,F-G,182,76,1962-11-10
bouceje01w,G,172,58,1973-12-20
bouchke01w,F,187,73,1968-01-13
bowenli01w,G,170,65,1983-10-25
boydca01w,F,185,78,1975-10-31
bradlki01w,F-C,195,83,1974-08-26
brancli01w,G,162,65,0000-00-00
branzal01w,F,193,81,1971-07-17
branzge01w,F,193,79,1976-07-25
braxtja01w,F-C,190,80,1973-10-06
braxtka01w,F-C,198,95,1983-02-18
brazian01w,F,187,76,1976-09-18
brcanra01w,C,203,89,1967-04-15
brelaje01w,F,190,77,1988-02-23
bristre01w,G,177,63,1978-02-10
brogami01w,F,185,80,1973-02-08
brondsa01w,G,170,61,1968-08-20
brownci01w,F-C,187,83,1965-03-16
brownco01w,G,175,68,1980-10-21
browned01w,G-F,175,73,1978-07-01
brownki01w,G,177,60,1979-01-13
brownla01w,C,190,81,1972-12-01
brownle01w,F,182,75,1977-06-03
brownru01w,F,187,79,1972-05-05
brumfma01w,G,172,60,1978-06-06
brungje01w,F,185,74,1982-04-16
brunsre01w,F,190,79,1981-12-11
bullevi01w,F,190,83,1967-10-04
burgean01w,G,170,63,1969-04-10
burgehe01w,C,195,88,1971-11-11
burgehe02w,F,195,81,1971-11-11
