year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,winrate,home_winrate,away_winrate,conf_winrate,o_fg_pct,o_ft_pct,o_3p_pct,o_oreb_pct,o_dreb_pct,d_fg_pct,d_ft_pct,d_3p_pct,d_oreb_pct,d_dreb_pct,pts_diff,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards
9,ATL,ATL,EA,7,N,,,,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18,6825,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.1,0.3963684676705049,0.7475862068965518,0.3377926421404682,0.31569173630454966,0.6843082636954503,0.44986690328305234,0.7396514161220044,0.3426294820717131,0.31699604743083004,0.68300395256917,-345,0.0,185.35714285714286,76.0,319.0,166.0,2314.0,297.0,650.0,947.0,482.0,282.0,115.0,499.0,705.0,2114.0,818.0,637.0,476.0,598.0,202.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ATL,ATL,EA,2,Y,L,,,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12,6950,0.5294117647058824,0.7058823529411765,0.35294117647058826,0.45454545454545453,0.4485172981878089,0.7536423841059603,0.3048128342245989,0.32088959491660046,0.6791104050833995,0.42149809564113416,0.7732342007434945,0.34150943396226413,0.30068143100511074,0.6993185689948893,64,110.0,183.69230769230768,71.6923076923077,351.0,170.0,2861.0,404.0,855.0,1259.0,547.0,329.0,121.0,567.0,741.0,2428.0,1089.0,755.0,569.0,374.0,114.0,5.0,19.0,10.0,402.0,168.0,21.0,40.0,61.0,33.0,15.0,4.0,41.0,45.0,135.0,58.0,60.0,40.0,29.0,12.0,0.0,1.0
1,CHA,CHA,EA,8,N,,,,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16,6475,0.25,0.3125,0.1875,0.23809523809523808,0.42669469259064635,0.7469670710571924,0.3393782383419689,0.32620320855614976,0.6737967914438503,0.455440414507772,0.744413407821229,0.3262411347517731,0.3292929292929293,0.6707070707070707,-243,0.0,181.6153846153846,76.0,318.0,160.0,2186.0,305.0,630.0,935.0,551.0,222.0,90.0,483.0,713.0,1903.0,812.0,577.0,431.0,386.0,131.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CHA,CHA,EA,4,Y,W,W,L,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,0.5625,0.6875,0.4375,0.7142857142857143,0.4191011235955056,0.7765151515151515,0.3574766355140187,0.3259493670886076,0.6740506329113924,0.39653304442036835,0.7669039145907474,0.3089430894308943,0.37760702524698136,0.6223929747530187,46,56.0,181.08333333333334,74.0,302.0,160.0,2055.0,309.0,639.0,948.0,467.0,217.0,114.0,464.0,605.0,1780.0,746.0,528.0,410.0,428.0,153.0,5.0,72.0,40.0,1600.0,463.0,67.0,146.0,213.0,112.0,49.0,31.0,104.0,143.0,429.0,177.0,90.0,70.0,103.0,39.0,0.0,0.0
3,CHA,CHA,EA,2,Y,L,,,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,0.5625,0.6875,0.4375,0.5714285714285714,0.4301675977653631,0.7390648567119156,0.40037950664136623,0.3162303664921466,0.6837696335078534,0.43054786939679024,0.7424749163879598,0.3575268817204301,0.3224043715846995,0.6775956284153005,108,224.0,180.6153846153846,74.23076923076923,269.0,160.0,2146.0,270.0,594.0,864.0,478.0,228.0,90.0,366.0,586.0,1708.0,737.0,627.0,465.0,516.0,207.0,8.0,17.0,10.0,369.0,104.0,18.0,38.0,56.0,27.0,14.0,4.0,23.0,28.0,114.0,42.0,19.0,9.0,42.0,11.0,0.0,0.0
4,CHA,CHA,EA,2,Y,L,,,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12,6850,0.5294117647058824,0.7647058823529411,0.29411764705882354,0.5,0.41839447102605,0.7728813559322034,0.3617021276595745,0.35221421215242016,0.6477857878475798,0.4153522607781283,0.7151424287856072,0.33906633906633904,0.3833167825223436,0.6166832174776564,22,0.0,180.1818181818182,74.0,339.0,170.0,2208.0,340.0,627.0,967.0,496.0,279.0,115.0,468.0,691.0,1873.0,784.0,586.0,453.0,517.0,187.0,3.0,22.0,10.0,400.0,128.0,21.0,31.0,52.0,28.0,12.0,7.0,22.0,40.0,112.0,44.0,34.0,27.0,31.0,13.0,1.0,0.0
5,CHA,CHA,EA,5,N,,,,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,0.47058823529411764,0.5882352941176471,0.35294117647058826,0.4,0.4271788990825688,0.7389830508474576,0.3616557734204793,0.29357798165137616,0.7064220183486238,0.4140786749482402,0.7461669505962522,0.37249283667621774,0.36947791164658633,0.6305220883534136,-76,260.0,182.28571428571428,75.5,341.0,170.0,2092.0,256.0,616.0,872.0,426.0,210.0,134.0,451.0,648.0,1744.0,745.0,590.0,436.0,459.0,166.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CHA,CHA,EA,6,N,,,,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16,6945,0.17647058823529413,0.29411764705882354,0.058823529411764705,0.2,0.4035546262415055,0.7163461538461539,0.34551495016611294,0.34162162162162163,0.6583783783783784,0.4507415254237288,0.7138849929873773,0.36578171091445427,0.33649289099526064,0.6635071090047393,-240,382.5882352941177,182.5,75.8125,338.0,170.0,2095.0,316.0,609.0,925.0,493.0,284.0,113.0,510.0,727.0,1913.0,772.0,624.0,447.0,301.0,104.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CHA,CHA,EA,6,N,,,,864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,11,23,34,7,10,4,13,6,14,6825,0.3235294117647059,0.4117647058823529,0.23529411764705882,0.3,0.39669421487603307,0.7104247104247104,0.3235294117647059,0.3171846435100548,0.6828153564899452,0.4239181014425314,0.7509481668773704,0.3333333333333333,0.29838709677419356,0.7016129032258065,-115,210.0,184.66666666666666,77.58333333333333,351.0,170.0,2456.0,347.0,747.0,1094.0,527.0,315.0,155.0,545.0,734.0,2178.0,864.0,777.0,552.0,544.0,176.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CHI,CHI,EA,7,N,,,,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16,6800,0.14705882352941177,0.17647058823529413,0.11764705882352941,0.2,0.39448275862068966,0.6982892690513219,0.292910447761194,0.3442622950819672,0.6557377049180327,0.45225896599906845,0.7404891304347826,0.373134328358209,0.3058918482647296,0.6941081517352704,-365,0.0,183.4,74.53333333333333,337.0,170.0,2322.0,357.0,680.0,1037.0,509.0,277.0,125.0,486.0,674.0,2175.0,858.0,643.0,449.0,536.0,157.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
