year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards,winrate,home_winrate,away_winrate,conf_winrate,o_fg_pct,o_ft_pct,o_3p_pct,o_oreb_pct,o_dreb_pct,d_fg_pct,d_ft_pct,d_3p_pct,d_oreb_pct,d_dreb_pct,pts_diff
10,ATL,ATL,EA,2,Y,L,,,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12,6950,110.0,183.69230769230768,71.6923076923077,351.0,170.0,2861.0,404.0,855.0,1259.0,547.0,329.0,121.0,567.0,741.0,2428.0,1089.0,755.0,569.0,374.0,114.0,5.0,19.0,10.0,402.0,168.0,21.0,40.0,61.0,33.0,15.0,4.0,41.0,45.0,135.0,58.0,60.0,40.0,29.0,12.0,0.0,1.0,0.5294117647058824,0.7058823529411765,0.35294117647058826,0.45454545454545453,0.4485172981878089,0.7536423841059603,0.3048128342245989,0.32088959491660046,0.6791104050833995,0.42149809564113416,0.7732342007434945,0.34150943396226413,0.30068143100511074,0.6993185689948893,64
10,CHI,CHI,EA,5,N,,,,930,2136,527,693,186,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,16,18,34,12,5,4,13,10,12,6825,350.0,182.16666666666666,74.08333333333333,333.0,165.0,2513.0,293.0,757.0,1050.0,529.0,244.0,134.0,490.0,584.0,2093.0,907.0,671.0,513.0,469.0,186.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.7058823529411765,0.23529411764705882,0.45454545454545453,0.4353932584269663,0.7604617604617605,0.39490445859872614,0.283471837488458,0.716528162511542,0.44248567650947557,0.7814029363784666,0.3473861720067454,0.31055363321799306,0.6894463667820069,-120
10,CON,CON,EA,6,N,,,,966,2381,517,692,202,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,16,18,34,12,5,4,13,10,12,6975,2792.0,181.42857142857142,76.28571428571429,338.0,170.0,2651.0,358.0,826.0,1184.0,608.0,250.0,130.0,440.0,677.0,2381.0,966.0,692.0,517.0,639.0,202.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.7058823529411765,0.23529411764705882,0.45454545454545453,0.40571188576228473,0.7471098265895953,0.3161189358372457,0.30236486486486486,0.6976351351351351,0.42620751341681573,0.792225201072386,0.32172131147540983,0.25824175824175827,0.7417582417582418,-3
10,DET,DET,EA,3,Y,W,L,,980,2277,539,721,153,436,373,853,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,320,781,1101,524,716,279,531,110,2644,18,16,34,11,6,7,10,11,11,6975,261.264705882353,184.0,77.27777777777777,315.0,170.0,2652.0,373.0,853.0,1226.0,575.0,261.0,97.0,531.0,766.0,2277.0,980.0,721.0,539.0,436.0,153.0,9.0,41.0,25.0,1001.0,402.0,57.0,118.0,175.0,83.0,41.0,22.0,93.0,124.0,331.0,149.0,98.0,80.0,65.0,24.0,1.0,0.0,0.5294117647058824,0.6470588235294118,0.4117647058823529,0.5,0.43039086517347386,0.7475728155339806,0.35091743119266056,0.30424143556280586,0.6957585644371941,0.40981372103589275,0.7773677736777368,0.3404255319148936,0.29064486830154407,0.709355131698456,8
10,IND,IND,EA,1,Y,W,W,L,890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,22,12,34,14,3,8,9,17,5,6925,1351.0,182.07142857142858,78.28571428571429,336.0,170.0,2606.0,342.0,780.0,1122.0,527.0,373.0,117.0,494.0,692.0,2212.0,890.0,746.0,613.0,637.0,213.0,6.0,98.0,50.0,2049.0,834.0,89.0,241.0,330.0,168.0,91.0,50.0,138.0,208.0,672.0,292.0,244.0,195.0,176.0,55.0,2.0,1.0,0.6470588235294118,0.8235294117647058,0.47058823529411764,0.7727272727272727,0.4023508137432188,0.82171581769437,0.33437990580847726,0.3048128342245989,0.6951871657754011,0.42917847025495753,0.7644508670520231,0.3188405797101449,0.27249357326478146,0.7275064267352185,105
10,LAS,LAS,WE,3,Y,W,L,,973,2264,435,550,152,512,365,883,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,2498,18,16,34,11,6,7,10,11,9,6925,3143.0,180.72727272727272,76.72727272727273,325.0,170.0,2533.0,365.0,883.0,1248.0,587.0,217.0,166.0,514.0,583.0,2264.0,973.0,550.0,435.0,512.0,152.0,4.0,49.0,30.0,1202.0,474.0,80.0,158.0,238.0,98.0,43.0,28.0,86.0,106.0,402.0,165.0,148.0,113.0,85.0,31.0,2.0,0.0,0.5294117647058824,0.6470588235294118,0.4117647058823529,0.55,0.4297703180212014,0.7909090909090909,0.296875,0.29246794871794873,0.7075320512820513,0.39920424403183025,0.7688603531300161,0.33490566037735847,0.3047619047619048,0.6952380952380952,35
10,MIN,MIN,WE,5,N,,,,949,2257,591,766,242,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,14,20,34,9,8,5,12,7,13,6875,0.0,184.30769230769232,78.61538461538461,336.0,170.0,2731.0,325.0,762.0,1087.0,509.0,301.0,128.0,487.0,693.0,2257.0,949.0,766.0,591.0,695.0,242.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.5294117647058824,0.29411764705882354,0.35,0.4204696499778467,0.7715404699738904,0.34820143884892085,0.29898804047838085,0.7010119595216191,0.46061946902654866,0.7735583684950773,0.38235294117647056,0.2721030042918455,0.7278969957081545,-96
10,NYL,NYL,EA,7,N,,,,900,2168,458,582,254,710,280,802,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,2535,13,21,34,8,9,5,12,9,13,6900,2348.5,184.27272727272728,80.72727272727273,353.0,170.0,2512.0,280.0,802.0,1082.0,526.0,276.0,121.0,518.0,637.0,2168.0,900.0,582.0,458.0,710.0,254.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.47058823529411764,0.29411764705882354,0.4090909090909091,0.4151291512915129,0.7869415807560137,0.35774647887323946,0.2587800369685767,0.7412199630314233,0.4200278164116829,0.7890044576523031,0.34657039711191334,0.27703826955074873,0.7229617304492513,-23
10,PHO,PHO,WE,1,Y,W,W,W,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,23,11,34,12,5,11,6,13,7,6900,470.0,182.0,73.33333333333333,327.0,170.0,3156.0,284.0,906.0,1190.0,625.0,225.0,181.0,489.0,740.0,2454.0,1128.0,752.0,643.0,665.0,257.0,6.0,102.0,55.0,2225.0,1034.0,97.0,267.0,364.0,191.0,64.0,41.0,124.0,226.0,778.0,370.0,239.0,202.0,231.0,92.0,2.0,3.0,0.6764705882352942,0.7058823529411765,0.6470588235294118,0.65,0.45965770171149145,0.8550531914893617,0.38646616541353385,0.23865546218487396,0.761344537815126,0.42370255615801705,0.7497062279670975,0.3371710526315789,0.3276264591439689,0.6723735408560312,125
10,SAC,SAC,WE,6,N,,,,946,2194,586,744,132,389,391,763,1154,540,645,289,584,98,2610,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,2690,12,22,34,7,10,5,12,6,14,6850,1752.4705882352941,184.0,77.61538461538461,311.0,141.0,2385.0,372.0,729.0,1101.0,513.0,256.0,91.0,489.0,575.0,2001.0,867.0,657.0,527.0,364.0,124.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.4117647058823529,0.29411764705882354,0.3,0.43117593436645396,0.7876344086021505,0.3393316195372751,0.33882149046793764,0.6611785095320624,0.4475461503827105,0.8174061433447098,0.36920529801324503,0.31712062256809337,0.6828793774319066,-80
